yil,sinav,ders,soru_no,cevap
2018,AYT,Sosyal2,1,D
2018,AYT,Sosyal2,2,C
2018,AYT,Sosyal2,3,C
2018,AYT,Sosyal2,4,D
2018,AYT,Sosyal2,5,E
2018,AYT,Sosyal2,6,A
2018,AYT,Sosyal2,7,B
2018,AYT,Sosyal2,8,D
2018,AYT,Sosyal2,9,A
2018,AYT,Sosyal2,10,B
2018,AYT,Sosyal2,11,C
2018,AYT,Sosyal2,12,D
2018,AYT,Sosyal2,13,B
2018,AYT,Sosyal2,14,B
2018,AYT,Sosyal2,15,A
2018,AYT,Sosyal2,16,B
2018,AYT,Sosyal2,17,C
2018,AYT,Sosyal2,18,E
2018,AYT,Sosyal2,19,C
2018,AYT,Sosyal2,20,D
2018,AYT,Sosyal2,21,C
2018,AYT,Sosyal2,22,A
2018,AYT,Sosyal2,23,D
2018,AYT,Sosyal2,24,A
2018,AYT,Sosyal2,25,A
2018,AYT,Sosyal2,26,B
2018,AYT,Sosyal2,27,A
2018,AYT,Sosyal2,28,D
2018,AYT,Sosyal2,29,B
2018,AYT,Sosyal2,30,D
2018,AYT,Sosyal2,31,E
2018,AYT,Sosyal2,32,D
2018,AYT,Sosyal2,33,E
2018,AYT,Sosyal2,34,B
2018,AYT,Sosyal2,35,D
2018,AYT,Sosyal2,36,A
2018,AYT,Sosyal2,37,A
2018,AYT,Sosyal2,38,C
2018,AYT,Sosyal2,39,E
2018,AYT,Sosyal2,40,C
2018,AYT,Sosyal2,41,E
2018,AYT,Sosyal2,42,C
2018,AYT,Sosyal2,43,E
2018,AYT,Sosyal2,44,E
2018,AYT,Sosyal2,45,D
2018,AYT,Sosyal2,46,B
2018,AYT,Matematik,1,E
2018,AYT,Matematik,2,B
2018,AYT,Matematik,3,C
2018,AYT,Matematik,4,C
2018,AYT,Matematik,5,A
2018,AYT,Matematik,6,D
2018,AYT,Matematik,7,A
2018,AYT,Matematik,8,C
2018,AYT,Matematik,9,C
2018,AYT,Matematik,10,E
2018,AYT,Matematik,11,B
2018,AYT,Matematik,12,D
2018,AYT,Matematik,13,A
2018,AYT,Matematik,14,A
2018,AYT,Matematik,15,B
2018,AYT,Matematik,16,A
2018,AYT,Matematik,17,B
2018,AYT,Matematik,18,E
2018,AYT,Matematik,19,A
2018,AYT,Matematik,20,D
2018,AYT,Matematik,21,C
2018,AYT,Matematik,22,D
2018,AYT,Matematik,23,C
2018,AYT,Matematik,24,B
2018,AYT,Matematik,25,B
2018,AYT,Matematik,26,C
2018,AYT,Matematik,27,D
2018,AYT,Matematik,28,B
2018,AYT,Matematik,29,E
2018,AYT,Matematik,30,A
2018,AYT,Matematik,31,C
2018,AYT,Matematik,32,B
2018,AYT,Matematik,33,E
2018,AYT,Matematik,34,D
2018,AYT,Matematik,35,B
2018,AYT,Matematik,36,A
2018,AYT,Matematik,37,A
2018,AYT,Matematik,38,B
2018,AYT,Matematik,39,A
2018,AYT,Matematik,40,E
2018,AYT,Fen,1,B
2018,AYT,Fen,2,D
2018,AYT,Fen,3,A
2018,AYT,Fen,4,E
2018,AYT,Fen,5,C
2018,AYT,Fen,6,C
2018,AYT,Fen,7,E
2018,AYT,Fen,8,A
2018,AYT,Fen,9,D
2018,AYT,Fen,10,B
2018,AYT,Fen,11,A
2018,AYT,Fen,12,D
2018,AYT,Fen,13,D
2018,AYT,Fen,14,C
2018,AYT,Fen,15,A
2018,AYT,Fen,16,C
2018,AYT,Fen,17,B
2018,AYT,Fen,18,A
2018,AYT,Fen,19,D
2018,AYT,Fen,20,E
2018,AYT,Fen,21,A
2018,AYT,Fen,22,A
2018,AYT,Fen,23,E
2018,AYT,Fen,24,D
2018,AYT,Fen,25,D
2018,AYT,Fen,26,C
2018,AYT,Fen,27,C
2018,AYT,Fen,28,A
2018,AYT,Fen,29,B
2018,AYT,Fen,30,C
2018,AYT,Fen,31,E
2018,AYT,Fen,32,D
2018,AYT,Fen,33,E
2018,AYT,Fen,34,D
2018,AYT,Fen,35,E
