yil,sinav,ders,soru_no,cevap
2019,TYT,Sosyal,1,D
2019,TYT,Sosyal,2,A
2019,TYT,Sosyal,3,D
2019,TYT,Sosyal,4,A
2019,TYT,Sosyal,5,C
2019,TYT,Sosyal,6,A
2019,TYT,Sosyal,7,İPTAL
2019,TYT,Sosyal,8,A
2019,TYT,Sosyal,9,C
2019,TYT,Sosyal,10,D
2019,TYT,Sosyal,11,C
2019,TYT,Sosyal,12,E
2019,TYT,Sosyal,13,C
2019,TYT,Sosyal,14,B
2019,TYT,Sosyal,15,A
2019,TYT,Sosyal,16,D
2019,TYT,Sosyal,17,E
2019,TYT,Sosyal,18,B
2019,TYT,Sosyal,19,E
2019,TYT,Sosyal,20,B
2019,TYT,Sosyal,21,D
2019,TYT,Sosyal,22,B
2019,TYT,Sosyal,23,E
2019,TYT,Sosyal,24,B
2019,TYT,Sosyal,25,C
2019,TYT,Matematik,1,E
2019,TYT,Matematik,2,B
2019,TYT,Matematik,3,C
2019,TYT,Matematik,4,E
2019,TYT,Matematik,5,A
2019,TYT,Matematik,6,B
2019,TYT,Matematik,7,İPTAL
2019,TYT,Matematik,8,B
2019,TYT,Matematik,9,B
2019,TYT,Matematik,10,C
2019,TYT,Matematik,11,C
2019,TYT,Matematik,12,A
2019,TYT,Matematik,13,D
2019,TYT,Matematik,14,A
2019,TYT,Matematik,15,A
2019,TYT,Matematik,16,C
2019,TYT,Matematik,17,D
2019,TYT,Matematik,18,D
2019,TYT,Matematik,19,A
2019,TYT,Matematik,20,D
2019,TYT,Matematik,21,E
2019,TYT,Matematik,22,E
2019,TYT,Matematik,23,C
2019,TYT,Matematik,24,D
2019,TYT,Matematik,25,C
2019,TYT,Matematik,26,B
2019,TYT,Matematik,27,C
2019,TYT,Matematik,28,B
2019,TYT,Matematik,29,D
2019,TYT,Matematik,30,C
2019,TYT,Matematik,31,D
2019,TYT,Matematik,32,A
2019,TYT,Matematik,33,E
2019,TYT,Matematik,34,B
2019,TYT,Matematik,35,C
2019,TYT,Matematik,36,E
2019,TYT,Matematik,37,D
2019,TYT,Matematik,38,E
2019,TYT,Matematik,39,B
2019,TYT,Matematik,40,C
2019,TYT,Türkçe,1,B
2019,TYT,Türkçe,2,A
2019,TYT,Türkçe,3,C
2019,TYT,Türkçe,4,B
2019,TYT,Türkçe,5,E
2019,TYT,Türkçe,6,A
2019,TYT,Türkçe,7,İPTAL
2019,TYT,Türkçe,8,E
2019,TYT,Türkçe,9,B
2019,TYT,Türkçe,10,C
2019,TYT,Türkçe,11,D
2019,TYT,Türkçe,12,E
2019,TYT,Türkçe,13,B
2019,TYT,Türkçe,14,B
2019,TYT,Türkçe,15,B
2019,TYT,Türkçe,16,C
2019,TYT,Türkçe,17,A
2019,TYT,Türkçe,18,B
2019,TYT,Türkçe,19,E
2019,TYT,Türkçe,20,B
2019,TYT,Türkçe,21,A
2019,TYT,Türkçe,22,A
2019,TYT,Türkçe,23,D
2019,TYT,Türkçe,24,C
2019,TYT,Türkçe,25,C
2019,TYT,Türkçe,26,E
2019,TYT,Türkçe,27,A
2019,TYT,Türkçe,28,C
2019,TYT,Türkçe,29,D
2019,TYT,Türkçe,30,E
2019,TYT,Türkçe,31,D
2019,TYT,Türkçe,32,E
2019,TYT,Türkçe,33,C
2019,TYT,Türkçe,34,D
2019,TYT,Türkçe,35,C
2019,TYT,Türkçe,36,E
2019,TYT,Türkçe,37,A
2019,TYT,Türkçe,38,D
2019,TYT,Türkçe,39,D
2019,TYT,Türkçe,40,A
2019,TYT,Fen,1,C
2019,TYT,Fen,2,B
2019,TYT,Fen,3,D
2019,TYT,Fen,4,E
2019,TYT,Fen,5,E
2019,TYT,Fen,6,D
2019,TYT,Fen,7,A
2019,TYT,Fen,8,C
2019,TYT,Fen,9,E
2019,TYT,Fen,10,D
2019,TYT,Fen,11,B
2019,TYT,Fen,12,D
2019,TYT,Fen,13,B
2019,TYT,Fen,14,A
2019,TYT,Fen,15,B
2019,TYT,Fen,16,B
2019,TYT,Fen,17,E
2019,TYT,Fen,18,C
2019,TYT,Fen,19,D
2019,TYT,Fen,20,E
